path,bytes,sha256,role,licence,release_scope
04_PNG_600PPI_FALLBACK/Figure_1_1.png,262432,daac53851e0749a1e2e19eea10fe7ee5642448dd0ff1fe257b7f5475a3bd0190,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_1_2.png,333386,4173976891881a01bd2e15f6b283f462a6216d11dd41712c20dfef2baf237f26,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_2_1.png,268361,5b861f0ddfc645338f8423a3e9cd19178fe81df50adfc6ca8f7a62a07e5d5172,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_2_2.png,322613,5ac427cfb70f7b1b703c42659e0e760df36f0c46a9ddebc4a18eee2f0ca8a973,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_3_1.png,317211,c3f49ff417015cbfb1387075922abb0a7dc7249218b39523a3590f23a2e50fb0,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_3_2.png,291436,72a29f6042d15be00582e911027c308f205160435c1669667d35ab22ee185f0b,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_4_1.png,284540,a7518888c2f6c9f74c882661d8a4b3e06ee3dd36c3004da663626ba7dfda329e,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_4_2.png,254568,a1d4647ba643c8e2790ea526778b99eb16d486e60bb65d7e675b73c063e14ab4,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_5_1.png,282098,2a32bf735b5bf517ddff4bbcc12c7453dcd447358f40aa40e277c3705ae49d5a,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_5_2.png,226234,85b3c8d6514cf8c9e81b623328f0584712a7f07011d227baae7580d1e8af9d53,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_6_1.png,216176,ef812fe27f53bf21c629f2cd5d25793b5646b2d8237929f100d676bd553c6d8f,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_6_2.png,295757,3ee270c5de069137867fc126e3496e4a03a47e967eb5e568f73635c845061985,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_7_1.png,269838,c07e60428b3ce65d5e28030bfc870cdaba82de4515907e776de40dc028f9d81e,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_7_2.png,219510,270ba5fc17b685b1397d5d16554fe5e48250a16ba4d566fe1c0d3bf2e701f1dd,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_8_1.png,311106,fda5c6929823ec6d9bafd67dfc1b67506d631f36ad68df31435cf9d13608d24e,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_8_2.png,289943,a958d5c02d9ad1c1e3cf1805d7e203287e6163d713a053a8280b91abf86d902b,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_9_1.png,315992,7466bb09695f0ddbdc2a9900a7a46e8f050f668d81e4578105526cfeedab34b7,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
04_PNG_600PPI_FALLBACK/Figure_9_2.png,259183,62ccf0e8334f9af12074402396b336b88532e7a07c260de3c1a3dd29d8304adc,technical_fallback,CC BY 4.0,PUBLIC_RELEASE
05_QA/ALL_18_FIGURES_CONTACT_SHEET_v4.3.png,1149211,c9857ac22a85de35e58e0047eeafa88c3eb0f25e2b8f8839e2aa1bb7396e0e95,quality_assurance,CC BY 4.0,PUBLIC_RELEASE
05_QA/ALT_TEXT_REGISTRY.csv,5615,7124c8546d4e99f64836f3918ba0d08f7ea3237a900d4842deada4b7a7d41eb2,quality_assurance,CC BY 4.0,PUBLIC_RELEASE
05_QA/PPTX_EDITABILITY_VALIDATION.csv,2290,28a06fffe97ada8741c8bbdd909aa4be9249deb321d9a0d8a1cd5761088ea0fb,quality_assurance,CC BY 4.0,PUBLIC_RELEASE
05_QA/PPTX_EDITABILITY_VALIDATION.json,6405,648a0bab1e8a8889c886450d95636c9b0923a0b7576b577e7d07410883a787b9,quality_assurance,CC BY 4.0,PUBLIC_RELEASE
05_QA/SUMMARY.json,1188,fab41a56c3271d17392d7176a7778e406ddb26662516d5cda0e40f76096fb83b,quality_assurance,CC BY 4.0,PUBLIC_RELEASE
05_QA/VALIDATION.csv,6724,0687c1d2ff2451dc6beeca3463d0460656e751757746b1392a1b4f8040642a56,quality_assurance,CC BY 4.0,PUBLIC_RELEASE
05_QA/VALIDATION.json,16222,e9734e6298d988758308a7b608874570310363c4996cbf03f2d613acfdb06928,quality_assurance,CC BY 4.0,PUBLIC_RELEASE
06_SOURCE_AND_PROVENANCE/AUTHOR_SOURCE_BYTE_IDENTITY_REGISTER.csv,4213,18d82eab80cb075a9c1bc23fcda26ca06e50394231979cd5dfc165b354616f75,source_provenance_or_build_code,CC BY 4.0,PUBLIC_RELEASE
06_SOURCE_AND_PROVENANCE/SOURCE_PROVENANCE_REGISTER.csv,8133,c9cfbeef295952eae8f80db2525684eb63b32dca9a9bd137ae5ec03d2f551e98,source_provenance_or_build_code,CC BY 4.0,PUBLIC_RELEASE
06_SOURCE_AND_PROVENANCE/build_consolidated_odg.py,7148,b3028c898d399cad9435977fd789addd4150014b38d2bd1ac7abd9d8bcb631bd,source_provenance_or_build_code,MIT,PUBLIC_RELEASE
06_SOURCE_AND_PROVENANCE/build_individual_pptx_from_odg_v43.py,1931,c3d5c0074dee47e50e61449961c70cd417f5fced345b2bfbdb5467b04aaa2f76,source_provenance_or_build_code,MIT,PUBLIC_RELEASE
06_SOURCE_AND_PROVENANCE/merge_individual_pptx_v43.py,3953,051c93914b8dc4079c95c01413592c7f51f9202d5e12e7f94ed183209fc0c92f,source_provenance_or_build_code,MIT,PUBLIC_RELEASE
README.md,1052,0fc3dc6a4d0f27a8709641d7c95c2a8419cd618c6f6cb424a2e0723ac1a87064,figure_governance,CC BY 4.0,PUBLIC_RELEASE
VERSION.txt,281,3d8b8a028faed8171e029d2ce23bae648d63aeee71debc677251148d2832b229,figure_governance,CC BY 4.0,PUBLIC_RELEASE
